Feature,Importance,CatBoost,XGBoost,LightGBM
koi_prad,0.13682518030009214,0.23120729084686814,0.08449164,0.0947766097240473
dec,0.0805663141099749,0.12226260461333119,0.039442908,0.0799934296977661
koi_smet,0.06256526780582299,0.07689910916651778,0.042301293,0.06849540078843627
planet_star_ratio,0.05865064412759175,0.04439680012818915,0.08277064,0.04878449408672799
planet_density_proxy,0.05241784019187512,0.0649889177997869,0.0346102,0.05765440210249671
koi_period,0.04663594295995366,0.04210997594022738,0.05903307,0.03876478318002628
log_insol,0.044149923352423175,0.011200773836691484,0.11779959,0.0034494086727989487
koi_incl,0.043712349721337106,0.046349633691296584,0.021383999,0.06340341655716163
log_period,0.042084110090893224,0.027896294711409458,0.084886916,0.013469119579500657
koi_insol,0.04035907248602834,0.02179632231414187,0.08548326,0.013797634691195795
koi_duration,0.040250316203494334,0.03738383344970714,0.016678547,0.066688567674113
koi_teq,0.03751411221666878,0.029828564695886284,0.061853062,0.02086070959264126
ra,0.03743778050983419,0.028082717289840877,0.012942845,0.07128777923784495
koi_depth,0.03210362702847324,0.029571898117808342,0.021403898,0.04533508541392904
koi_steff,0.028640243670661054,0.01727430178056099,0.022654314,0.045992115637319315
transit_signal,0.02786134031359572,0.019826156515292303,0.01973684,0.04402102496714849
transit_snr,0.025928379057339117,0.028486859736406026,0.020553205,0.02874507227332457
log_depth,0.025767560316812623,0.026633466941413244,0.03621455,0.01445466491458607
orbital_energy,0.02509510375129859,0.019524628650558786,0.037528094,0.01823258869908016
koi_srad,0.023577521954643712,0.021424359247117164,0.021055907,0.028252299605781867
koi_impact,0.02340102026899604,0.005124473793939763,0.010709336,0.054369250985545334
koi_sma,0.01702413392410294,0.018660874051506265,0.01746409,0.014947437582128778
koi_slogg,0.012531362901045307,0.006953373329766776,0.00879446,0.021846254927726676
koi_smass,0.012083295055775206,0.00893650081014666,0.011380401,0.015932982917214192
stellar_density,0.011944358074176528,0.005635588987495735,0.011307866,0.018889618922470434
koi_eccen,0.005856677302074772,0.0038264670213692055,0.00668049,0.007063074901445467
koi_sage,0.004038507883473637,0.0028915943952774947,0.008731157,0.0004927726675427069
orbit_stability,0.0009610226443069673,0.0007755971709363154,0.0021074708,0.0
koi_longp,1.7006988836891177e-05,5.102096651067353e-05,0.0,0.0
