rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmrasymerr,st_pmdec,st_pmdecsymerr,pl_tranmid,pl_tranmidsymerr,pl_orbper,pl_orbpersymerr,pl_trandurh,pl_trandurhsymerr,pl_trandep,pl_trandepsymerr,pl_rade,pl_radesymerr,pl_insol,pl_insolsymerr,pl_eqt,pl_eqtsymerr,st_tmag,st_tmagsymerr,st_dist,st_distsymerr,st_teff,st_teffsymerr,st_logg,st_loggsymerr,st_rad,st_radsymerr,toi_created,rowupdate,ra_error,dec_error,st_pmra_error,st_pmdec_error,pl_tranmid_error,pl_orbper_error,pl_trandurh_error,pl_trandep_error,pl_rade_error,pl_insol_error,pl_eqt_error,st_tmag_error,st_dist_error,st_teff_error,st_logg_error,st_rad_error
1,1000.01,1000,50365310,50365310.01,1,FP,07h29m25.85s,112.357708,-12d41m45.46s,-12.69596,-5.964,1.0,-0.076,1.0,2459229.630046,1,2.1713484,1,2.0172196,1,656.8860989,1,5.8181633,1,22601.9485814,,3127.2040524,,9.604,1,485.735,1,10249.0,1,4.19,1,2.16986,1,2019-07-24 15:58:33,2024-09-09 10:08:01,,,0.085,0.072,0.001657,0.0002637,0.3195879,37.77821,1.9105465,,,0.013,11.9515,264.7,0.07,0.0725729
2,1001.01,1001,88863718,88863718.01,1,PC,08h10m19.31s,122.580465,-05d30m49.87s,-5.513852,-4.956,1.0,-15.555,1.0,2459987.948873,1,1.9316462,1,3.166,1,1286.0,1,11.2154,1,44464.5,,4045.0,,9.42344,1,295.862,1,7070.0,1,4.03,1,2.01,1,2019-07-24 15:58:33,2023-04-03 14:31:04,,,0.102,0.072,0.001916,5.3e-06,0.647,1186.49,2.6242,,,0.006,5.91,126.4,0.09,0.09
3,1002.01,1002,124709665,124709665.01,1,FP,06h58m54.47s,104.726966,-10d34m49.64s,-10.580455,-1.462,1.0,-2.249,1.0,2459224.687802,1,1.8675574,1,1.408,1,1500.0,1,23.7529,1,2860.61,,2037.0,,9.299501,1,943.109,1,8924.0,1,,1,5.73,1,2019-07-24 15:58:33,2022-07-11 16:02:02,,,0.206,0.206,0.000625,3e-06,0.184,1.7584,,,,0.058,106.333,124.0,,
4,1003.01,1003,106997505,106997505.01,1,FP,07h22m14.39s,110.559945,-25d12m25.26s,-25.207017,-0.939,1.0,1.64,1.0,2458493.3957,1,2.74323,1,3.167,1,383.41,1,,1,1177.36,,1631.0,,9.3003,1,7728.17,1,5388.5,1,4.15,1,,1,2019-07-24 15:58:33,2022-02-23 10:10:02,,,0.041,0.055,0.00535,0.00108,0.642,0.781988,,,,0.037,1899.57,567.0,1.64,
5,1004.01,1004,238597883,238597883.01,1,FP,08h08m42.77s,122.178195,-48d48m10.12s,-48.802811,-4.496,1.0,9.347,1.0,2459987.047262,1,3.5730141,1,3.37,1,755.0,1,11.3113,1,54679.3,,4260.0,,9.1355,1,356.437,1,9219.0,1,4.14,1,2.15,1,2019-07-24 15:58:33,2024-09-09 10:08:01,,,0.069,0.062,0.003748,1.28e-05,1.029,1306.55,3.24714,,,0.006,4.6175,171.1,0.07,0.06
6,1005.01,1005,169904935,169904935.01,1,FP,08h02m49.15s,120.704811,-11d06m05.48s,-11.101521,-26.932,1.0,-2.901,1.0,2459985.156855,1,4.5505945,1,2.654,1,3731.0,1,7.10841,1,414.775,,1257.0,,9.1309,1,100.711,1,5613.0,1,,1,1.09,1,2019-07-24 15:58:33,2025-07-08 10:08:01,,,1.935,2.06,0.000581,3.1e-06,0.339,123.723,0.474611,,,0.006,14.121,179.9,,0.07
7,1006.01,1006,156115721,156115721.01,1,FP,08h17m26.22s,124.359239,-27d16m24.68s,-27.273521,-29.1,1.0,-6.8,1.0,2459229.984579,1,2.5047918,1,4.3797563,1,2270.5402194,1,8.6950898,1,1750.932635,,1649.8220699,,9.2386,1,,1,6616.0,1,,1,1.53429,1,2019-07-24 15:58:33,2021-10-29 12:59:15,,,2.6,2.2,0.002159,0.0004076,0.1036554,81.38088,8.438766,,,0.006,,200.0,,1.4887
8,1007.01,1007,65212867,65212867.01,1,PC,07h31m00.57s,112.752393,-04d27m48.09s,-4.463359,0.357,1.0,3.399,1.0,2459247.930695,1,6.9989206,1,3.953,1,2840.0,1,14.7752,1,448.744,,1282.0,,8.87759,1,283.291,1,6596.0,1,3.71,1,2.7,1,2019-07-24 15:58:33,2021-10-29 12:59:15,,,0.058,0.045,0.0013,1.37e-05,0.437,0.943618,0.764705,,,0.006,3.0025,139.2,0.09,0.13
9,1008.01,1008,440801822,440801822.01,1,FP,07h17m31.88s,109.382839,+13d23m42.79s,13.395219,-17.9,1.0,1.3,1.0,2460258.236122,1,2.0483755,1,2.767,1,483.0,1,3.19621,1,5644.4,,,,8.9362,1,144.297,1,6858.5,1,4.2,1,1.57,1,2019-07-24 15:58:33,2023-12-08 16:02:02,,,1.1,1.0,0.002805,5.5e-06,0.861,41.94,,,,0.012,,584.6,1.9,
10,1009.01,1009,107782586,107782586.01,1,PC,07h26m40.28s,111.667845,-24d27m43.6s,-24.462111,-3.297,1.0,4.849,1.0,2459229.230924,1,1.9600277,1,2.0065257,1,1707.6272693,1,,1,1063.3422958,,1456.4246534,,8.4331,1,866.147,1,8868.7,1,,1,,1,2019-07-24 15:58:33,2024-01-17 10:08:02,,,0.319,0.358,0.000389,2.5e-06,0.050591,49.601223,,,,0.028,172.097,809.8,,
11,101.01,101,231663901,231663901.01,1,KP,21h14m56.88s,318.737012,-55d52m18.71s,-55.871863,12.641,1.0,-16.011,1.0,2458326.009117,1,1.4303699,1,1.6165994,1,18960.7122944,1,13.1874503,1,1281.2408254,,1525.9048089,,12.4069,1,375.31,1,5600.0,1,4.48851,1,0.890774,1,2018-09-05 18:49:20,2024-09-06 10:08:02,,,0.044,0.041,0.000132,8e-07,0.0192089,184.79134,0.6576402,,,0.006,4.411,,,0.0438467
12,1010.01,1010,139853601,139853601.01,1,FP,07h29m10.56s,112.293981,-21d49m58.48s,-21.832912,-5.746,1.0,4.502,1.0,2459228.878101,1,0.6808702,1,2.4634563,1,1507.8006889,1,5.9115908,1,87140.6995884,,4382.0266062,,8.45086,1,485.122,1,9438.0,1,,1,1.0,1,2019-07-24 15:58:33,2021-10-29 12:59:15,,,0.176,0.261,0.000791,3.9e-05,0.0557065,39.971123,1.5360428,,,0.006,36.246,782.0,,
13,1011.01,1011,114018671,114018671.01,1,PC,07h35m56.34s,113.984761,-32d50m31.2s,-32.841999,145.102,1.0,-134.901,1.0,2459984.627768,1,2.4704981,1,2.191,1,250.0,1,1.44656,1,575.597,,1364.0,,8.2388,1,52.62,1,5413.7,1,4.46,1,0.94,1,2019-07-24 15:58:33,2023-03-22 16:02:02,,,0.046,0.052,0.002619,7.3e-06,0.482,18.1279,0.107503,,,0.006,0.0793,132.8,0.09,0.05
14,1012.01,1012,427508467,427508467.01,1,APC,07h48m22.87s,117.095285,+06d47m06.23s,6.785064,-2.99,1.0,-0.029,1.0,2459252.509595,1,0.884182,1,1.621,1,1890.0,1,24.8132,1,112144.0,,5098.0,,8.12718,1,295.959,1,8928.0,1,3.92,1,2.72,1,2019-07-24 15:58:33,2023-03-10 12:02:48,,,0.202,0.106,0.000369,7e-07,0.035,311.366,5.41599,,,0.006,11.315,128.7,0.08,0.13
15,1013.01,1013,97700520,97700520.01,1,FP,07h09m08.66s,107.286063,-31d56m00.68s,-31.933523,-3.973,1.0,7.061,1.0,2459232.248322,1,5.4255548,1,3.9637474,1,14939.6342222,1,,1,273.5880696,,1037.2753045,,7.6095,1,510.295,1,8868.7,1,,1,,1,2019-07-24 15:58:33,2021-10-29 12:59:15,,,0.063,0.071,0.000512,0.0002073,0.0211401,238.97354,,,,0.006,9.32,809.8,,
16,1014.01,1014,96246348,96246348.01,1,FP,06h54m14.78s,103.561602,-34d13m22.15s,-34.22282,-13.063,1.0,9.737,1.0,2459985.657041,1,1.4095184,1,0.9484999,1,2841.5103258,1,,1,1650.422071,,1625.6180218,,7.678,1,224.672,1,9307.0,1,,1,,1,2019-07-24 15:58:33,2023-11-20 10:08:02,,,0.078,0.141,0.000309,2.3e-06,0.0413901,51.88166,,,,0.012,2.8445,938.9,,
17,1015.01,1015,155044736,155044736.01,1,FP,08h11m35.03s,122.895964,-27d58m18.83s,-27.971896,1.566,1.0,-17.974,1.0,2459963.610065,1,1.3730466,1,2.5708515,1,1301.5065338,1,42.1479417,1,3160.6328329,,1912.3318636,,10.7069,1,906.496,1,4897.0,1,,1,6.7996101,1,2019-04-01 16:51:56,2023-12-20 16:02:19,,,0.052,0.053,0.004221,6.7e-06,0.1950537,96.64637,46.48904,,,0.008,28.8415,122.0,,
18,1016.01,1016,175310067,175310067.01,1,FP,07h44m26.59s,116.110771,-36d05m53.83s,-36.098285,-9.231,1.0,11.614,1.0,2459238.831138,1,12.6889415,1,7.9201001,1,3232.8527885,1,14.0608342,1,425.1594177,,1158.1310368,,10.6257,1,368.646,1,7601.0,1,4.31,1,1.53641,1,2019-04-01 16:52:03,2024-09-09 10:08:01,,,0.048,0.052,0.006715,0.0095088,0.5393766,235.25328,15.241591,,,0.006,3.784,135.8,0.08,0.0479799
19,1017.01,1017,182943944,182943944.01,1,FP,08h18m54.34s,124.726411,-37d46m59.7s,-37.78325,-11.278,1.0,9.593,1.0,2458518.96536,1,1.10422,1,2.37,1,14177.7,1,21.0448,1,39459.3,,3926.0,,10.6019,1,406.997,1,6995.2,1,4.07,1,1.61,1,2019-07-24 17:08:12,2021-10-29 12:59:15,,,0.045,0.045,0.00137,0.00013,0.062,843.788,5.22012,,,0.006,4.7245,157.0,0.55,0.07
20,1018.01,1018,291555748,291555748.01,1,FP,07h26m51.84s,111.716019,-50d15m59.64s,-50.266567,-8.018,1.0,11.56,1.0,2458492.78078,1,4.95912,1,2.509,1,7440.0,1,22.9123,1,673.55,,1419.0,,10.6254,1,360.541,1,5889.0,1,3.86,1,2.0,1,2019-04-01 16:52:01,2021-10-29 12:59:15,,,0.049,0.047,0.00073,0.00016,0.13,197.962,3.28055,,,0.006,2.9645,124.3,0.07,0.09
21,1019.01,1019,341420329,341420329.01,1,PC,08h00m35.52s,120.147994,-54d52m42.79s,-54.878552,-11.732,1.0,2.586,1.0,2459232.446864,1,5.2341008,1,3.7078139,1,20796.9416293,1,24.2931408,1,1453.6663847,,1574.8381848,,10.6348,1,399.544,1,7645.0,1,4.3,1,1.56203,1,2019-07-24 17:08:12,2024-02-16 10:08:02,,,0.047,0.061,0.00012,1.2e-06,0.0125204,50.80361,0.7497171,,,0.006,4.1635,134.4,0.08,0.0481257
22,102.01,102,149603524,149603524.01,1,KP,05h48m33.56s,87.139821,-63d59m17.98s,-63.988329,-15.641,1.0,26.046,1.0,2460187.916571,1,4.4119378,1,3.65,1,15062.0,1,15.4706,1,653.252,,1408.0,,9.7109,1,175.631,1,6280.0,1,4.32092,1,1.21,1,2019-05-07 17:42:37,2024-10-03 10:08:02,,,0.037,0.037,0.000126,8e-07,0.011,69.1814,0.691963,,,0.006,0.588,,,0.05
23,1020.01,1020,140706664,140706664.01,1,FP,08h33m31.67s,128.381976,-43d49m42.32s,-43.828421,-5.814,1.0,4.328,1.0,2458521.29108,1,3.28892,1,3.793,1,10518.9,1,,1,29832.6,,3661.0,,10.7173,1,906.827,1,8734.2,1,4.1,1,,1,2019-07-24 17:08:12,2021-10-29 12:59:15,,,0.051,0.047,0.00241,0.00066,0.202,530.608,,,,0.013,23.8635,283.6,1.45,
24,1021.01,1021,143994283,143994283.01,1,FP,07h57m12.18s,119.30075,-42d59m56.94s,-42.999149,-3.211,1.0,-15.082,1.0,2458492.90429,1,1.90879,1,1.909,1,618.482,1,3.34688,1,985.807,,1561.0,,10.5551,1,235.974,1,6022.6,1,4.52,1,1.22,1,2019-07-24 17:08:12,2021-10-29 12:59:15,,,0.046,0.051,0.00426,0.00035,0.231,1.43774,0.217749,,,0.006,1.579,133.5,0.39,0.05
25,1022.01,1022,47384844,47384844.01,1,FA,10h51m51.58s,162.96491,-05d47m19.35s,-5.788708,-15.787,1.0,-11.849,1.0,2458547.448,1,3.09574,1,4.475,1,380.0,1,3.4262,1,18087.9,,3230.0,,8.72924,1,120.666,1,6084.0,1,4.13,1,1.41,1,2019-06-04 14:32:44,2023-06-06 12:02:56,,,0.09,0.077,0.00834,0.00677,1.196,,0.778713,,,0.007,1.068,111.0,0.3,0.05
26,1023.01,1023,238374636,238374636.01,1,FP,08h03m21.05s,120.837688,-51d20m44.25s,-51.345626,-23.366,1.0,22.652,1.0,2459303.303969,1,1.3214483,1,3.435,1,2180.0,1,21.8839,1,35623.2,,3827.0,,9.697,1,316.398,1,5050.8,1,3.56,1,2.99,1,2019-07-24 18:44:12,2021-12-07 16:02:02,,,0.042,0.04,0.003015,2.31e-05,0.071,137.946,4.01475,,,0.006,2.247,86.8,0.4,0.15
27,1024.01,1024,141482386,141482386.01,1,FP,05h47m16.97s,86.820714,-72d25m21.4s,-72.422611,1.128,1.0,11.563,1.0,2458339.72276,1,18.0157,1,2.524,1,610.0,1,21.644,1,7.64364,,463.0,,10.0814,1,692.266,1,4709.0,1,,1,7.61,1,2019-07-24 18:44:12,2021-10-29 12:59:15,,,0.044,0.047,0.00592,0.00015,0.403,1.66317,,,,0.006,12.113,122.0,,
28,1025.01,1025,297967252,297967252.01,1,PC,09h30m05.08s,142.521159,-51d31m01.61s,-51.517114,-19.153,1.0,11.046,1.0,2458545.149804,1,9.6837921,1,2.4006056,1,4238.2399008,1,,1,3176.3106916,,1914.698926,,5.5324,1,129.838,1,8598.7,1,,1,,1,2019-07-24 18:44:12,2024-09-15 12:02:47,,,0.168,0.178,9.2e-05,9e-07,0.0086986,15.838111,,,,0.006,1.713,1245.7,,
29,1026.01,1026,388624270,388624270.01,1,FP,08h21m44.31s,125.434634,-51d45m33.99s,-51.759442,47.228,1.0,-6.325,1.0,2460720.807674,1,14.2628757,1,6.9350494,1,913.2067174,1,2.4765813,1,153.2069421,,980.3628831,,9.9138,1,105.677,1,5690.0,1,4.58,1,0.853898,1,2019-06-11 14:45:00,2025-09-02 16:00:02,,,0.047,0.039,0.00363,3.85e-05,0.466316,37.2772746,0.1510812,,,0.006,0.2575,129.0,0.08,0.0413895
30,1027.01,1027,20318757,20318757.01,1,PC,11h08m31.99s,167.133275,-29d39m11.29s,-29.653135,-87.554,1.0,12.992,1.0,2460037.86905,1,3.2834565,1,1.537,1,1558.0,1,2.87648,1,161.092,,992.0,,10.2103,1,56.3449,1,4272.0,1,4.6,1,0.68,1,2019-07-24 18:44:12,2023-06-05 12:03:22,,,0.073,0.057,0.001406,4.6e-06,0.709,185.42,0.314177,,,0.006,0.13245,122.7,0.11,0.06
31,1027.02,1027,20318757,20318757.02,2,PC,11h08m31.99s,167.133275,-29d39m11.29s,-29.653135,-87.554,1.0,12.992,1.0,2460032.53325,1,11.02875,1,2.715,1,1694.0,1,2.76586,1,15.0463,,548.0,,10.2103,1,56.3449,1,4272.0,1,4.6,1,0.68,1,2021-06-03 22:37:59,2024-09-01 12:02:56,,,0.073,0.057,0.002913,3.54e-05,0.404,104.432,0.268927,,,0.006,0.13245,122.7,0.11,0.06
32,1027.03,1027,20318757,20318757.03,3,PC,11h08m31.99s,167.133275,-29d39m11.29s,-29.653135,-87.554,1.0,12.992,1.0,2460032.57304,1,5.0113292,1,1.024,1,1210.0,1,2.52314,1,17.1793,,567.0,,10.2103,1,56.3449,1,4272.0,1,4.6,1,0.68,1,2023-05-18 23:08:27,2023-06-05 12:03:22,,,0.073,0.057,0.002567,1.2e-05,0.471,182.035,0.302798,,,0.006,0.13245,122.7,0.11,0.06
33,1028.01,1028,447283466,447283466.01,1,FP,10h28m23.6s,157.098337,-51d42m19.47s,-51.705409,30.65,1.0,-33.906,1.0,2458544.48066,1,1.01606,1,2.843,1,240.0,1,1.20704,1,2784.04,,2023.0,,7.9059,1,23.7748,1,4634.0,1,4.64,1,0.68,1,2019-07-24 18:44:12,2021-10-29 12:59:15,,,0.054,0.056,0.00412,0.00034,0.278,0.375709,0.0989898,,,0.006,0.02025,120.9,0.09,0.05
34,1029.01,1029,374908020,374908020.01,1,FP,05h54m57.38s,88.73909,-65d57m31.82s,-65.958839,,,,,2458365.89313,1,36.22214,1,5.107,1,7170.0,1,,1,,,,,6.841,1,,1,,1,,1,,1,2019-06-11 14:45:03,2021-12-07 16:02:02,,,,,0.00096,0.00046,0.188,228.173,,,,0.0,,,,
35,103.01,103,336732616,336732616.01,1,KP,20h49m49.8s,312.457488,-24d25m43.3s,-24.428694,10.426,1.0,15.62,1.0,2458327.25256,1,3.547854,1,3.494333,1,10424.3718,1,14.581841,1,1212.004376,,1504.858953,,11.5232,1,411.211,1,6351.0,1,4.22896,1,1.4,1,2018-09-05 18:49:20,2024-09-07 10:08:02,,,0.07,0.051,0.000586,0.000149,0.049205,123.359314,0.196435,,,0.008,7.752,,,
36,1030.01,1030,464296022,464296022.01,1,FP,10h23m19.55s,155.831478,-57d35m24.89s,-57.590248,-26.184,1.0,22.489,1.0,2460054.783937,1,12.1246519,1,4.612,1,7279.0,1,17.6729,1,207.32,,1057.0,,9.5706,1,78.41273,1,4807.6,1,4.17,1,1.07,1,2019-07-24 18:44:12,2023-05-31 10:10:01,,,2.184,1.073,0.000628,1.03e-05,0.667,6484.95,2.59688,,,0.006,2.83992,60.0,0.36,0.03
37,1031.01,1031,304021498,304021498.01,1,FP,09h23m32.13s,140.88389,-67d01m33.62s,-67.026006,-23.901,1.0,3.03,1.0,2459304.837939,1,5.652623,1,3.434,1,1250.0,1,8.94354,1,2717.06,,2011.0,,9.7318,1,270.771,1,6415.4,1,3.98,1,1.92,1,2019-06-25 15:58:39,2024-09-19 10:08:01,,,0.042,0.047,0.002852,2.54e-05,0.475,26.0133,1.13988,,,0.006,1.6275,103.2,0.08,0.08
38,1032.01,1032,146589986,146589986.01,1,PC,10h36m53.16s,159.221506,-42d32m29.9s,-42.541639,-15.15,1.0,6.437,1.0,2459283.828685,1,5.6643704,1,3.8087395,1,3491.8232968,1,14.7738943,1,7657.6621505,,2385.8536488,,9.7611,1,587.196,1,10395.0,1,4.13,1,2.3383701,1,2019-07-24 18:44:12,2024-01-17 10:08:02,,,0.072,0.087,0.000897,1.09e-05,0.0887935,95.25267,0.7471176,,,0.006,18.7865,320.6,0.07,0.109357
39,1033.01,1033,149601557,149601557.01,1,FP,05h49m07.82s,87.282586,-60d29m54.4s,-60.498444,8.9,1.0,20.7,1.0,2460195.100648,1,29.0160175,1,5.345,1,1389.0,1,6.77406,1,33.2234,,,,10.0163,1,219.94,1,6113.1,1,,1,2.01,1,2019-06-11 14:45:00,2025-06-03 16:00:01,,,3.1,2.2,0.002821,6.47e-05,0.314,36.0326,,,,0.006,,,,
40,1034.01,1034,400595342,400595342.01,1,FP,08h57m46.02s,134.441752,-49d00m02.08s,-49.000578,-4.837,1.0,4.109,1.0,2460768.617427,1,3.6404389,1,2.5339234,1,476.3077321,1,3.7025342,1,9941.2265514,,2783.098027,,9.8174,1,363.44,1,9810.0,1,4.43,1,1.60776,1,2019-07-24 18:44:12,2025-09-05 10:08:01,,,0.063,0.062,0.002617,8.2e-06,0.5744699,35.1115139,0.1738907,,,0.006,4.983,173.7,0.06,0.0427739
41,1035.01,1035,361413119,361413119.01,1,PC,09h36m36.07s,144.150273,-61d34m59.46s,-61.583182,-9.506,1.0,16.897,1.0,2459286.872605,1,6.0744477,1,2.4954821,1,5982.5212406,1,30.9493217,1,1487.5644344,,1583.9398898,,10.1126,1,347.556,1,5964.0,1,3.7,1,2.4303801,1,2019-07-24 18:44:12,2025-07-09 16:00:02,,,0.239,0.207,0.000437,5.9e-06,0.0518881,93.93912,11.697444,,,0.006,13.63,128.4,0.09,0.151568
42,1036.01,1036,146172354,146172354.01,1,PC,10h31m28.11s,157.867112,-42d14m25.61s,-42.240448,10.992,1.0,-57.748,1.0,2460037.172273,1,3.7795212,1,2.952,1,2761.0,1,5.98375,1,466.528,,1294.0,,10.2855,1,184.015,1,5771.0,1,4.31,1,1.18,1,2019-07-24 18:44:12,2023-05-05 16:02:01,,,0.037,0.049,0.001095,4e-06,0.158,60.2474,0.311897,,,0.006,0.962,132.3,0.08,0.06
43,1037.01,1037,363260203,363260203.01,1,FP,09h49m32.44s,147.385172,-63d18m23.32s,-63.306478,-19.687,1.0,10.953,1.0,2459331.124512,1,1.2025238,1,1.991,1,390.0,1,6.31106,1,208477.0,,5952.0,,9.0211,1,279.698,1,9158.0,1,4.32,1,1.74,1,2019-07-24 18:44:12,2024-09-07 10:08:02,,,0.07,0.068,0.003174,6.7e-06,0.052,107.57,1.99504,,,0.006,3.279,171.4,0.07,0.05
44,1038.01,1038,90544017,90544017.01,1,FP,08h33m49.11s,128.454638,-49d56m25.25s,-49.940347,-15.5,1.0,7.0,1.0,2459273.371643,1,3.2235985,1,2.159,1,680.0,1,5.51341,1,2064.8,,,,8.7157,1,280.765,1,8904.0,1,4.09,1,2.17,1,2019-07-24 18:44:12,2021-10-29 12:59:15,,,1.6,1.5,0.002025,1.38e-05,0.452,1.13,,,,0.006,,239.9,1.36,
45,1039.01,1039,461867584,461867584.01,1,APC,09h58m45.25s,149.688545,-58d45m37.63s,-58.760453,-6.434,1.0,4.098,1.0,2460031.2166,1,4.420125,1,3.956,1,2466.0,1,,1,,,,,8.5483,1,2864.34,1,,1,,1,,1,2019-07-24 18:44:12,2023-05-05 16:02:01,,,0.215,0.246,0.00071,8.5e-06,1.259,196.3,,,,0.6,1012.54,,,
46,104.01,104,231670397,231670397.01,1,KP,21h19m47.93s,319.949697,-58d08m56.16s,-58.148933,10.552,1.0,-10.658,1.0,2460150.608677,1,4.0872956,1,5.586113,1,3572.1712499,1,13.6237732,1,2242.3605401,,1755.0767383,,9.8638,1,316.678,1,6036.0,1,3.93359,1,2.2186699,1,2018-09-05 18:49:20,2023-10-16 16:02:02,,,0.045,0.043,0.000682,2.3e-06,0.0508755,35.689426,0.6518233,,,0.006,2.9655,,,0.102573
47,1040.01,1040,310483807,310483807.01,1,FP,08h34m27.41s,128.61421,-61d29m17.74s,-61.488262,-11.78,1.0,6.725,1.0,2458520.65674,1,2.55555,1,1.566,1,340.0,1,11.5901,1,3520.68,,2145.0,,8.3854,1,732.432,1,10037.0,1,,1,6.04,1,2019-07-24 18:44:12,2021-10-29 12:59:15,,,0.118,0.097,0.00497,0.00045,0.375,1.37224,,,,0.007,32.449,123.0,,
48,1041.01,1041,385624852,385624852.01,1,FP,09h13m36.54s,138.402252,-55d11m52.48s,-55.19791,-14.189,1.0,14.261,1.0,2459261.801216,1,8.30792,1,3.228,1,8350.0,1,43.1068,1,2276.25,,1924.0,,8.0981,1,305.034,1,9081.0,1,3.83,1,3.05,1,2019-07-24 18:44:12,2021-10-29 12:59:15,,,0.065,0.058,0.0004,0.00037,0.089,160.238,4.42399,,,0.006,2.981,173.2,0.07,0.09
49,1042.01,1042,360286627,360286627.01,1,PC,09h27m54.05s,141.975215,-61d19m48.14s,-61.33004,-11.595,1.0,3.139,1.0,2459281.337956,1,0.758082,1,1.8184632,1,583.93181,1,10.1273702,1,216218.1005011,,5499.7476332,,9.718,1,792.633,1,9917.0,1,3.75,1,3.5086601,1,2019-07-24 18:44:12,2025-07-09 16:00:02,,,0.056,0.057,0.001287,7.3e-06,0.1306038,58.10249,0.6658212,,,0.006,19.4965,199.6,0.06,0.120121
50,1043.01,1043,90448944,90448944.01,1,FP,08h33m12.56s,128.302319,-52d42m51.13s,-52.714202,-9.496,1.0,14.659,1.0,2459985.770425,1,1.4415577,1,2.349,1,507.0,1,3.61078,1,16861.8,,3174.0,,9.5719,1,208.055,1,6902.0,1,4.25,1,1.52,1,2019-07-24 18:44:12,2024-09-09 10:08:01,,,0.051,0.045,0.003745,7.4e-06,0.682,54.9645,0.26004,,,0.006,1.1015,135.7,0.09,0.06
51,1044.01,1044,463402815,463402815.01,1,PC,10h15m14.65s,153.811023,-58d45m59.01s,-58.766393,-14.441,1.0,6.214,1.0,2460037.194672,1,1.0085089,1,1.642,1,3051.0,1,,1,,,,,10.0031,1,494.689,1,5215.2,1,,1,,1,2019-07-24 18:44:12,2023-05-11 16:02:02,,,0.073,0.069,0.000793,9e-07,0.343,688.931,,,,0.006,9.557,1166.8,,
52,1045.01,1045,54044474,54044474.01,1,FP,10h39m33.05s,159.887704,-32d30m42.77s,-32.51188,-34.609,1.0,14.667,1.0,2459301.544126,1,3.7039994,1,4.277,1,7590.0,1,17.57,1,3546.13,,2149.0,,9.6306,1,300.696,1,7013.8,1,4.21,1,1.9,1,2019-07-24 18:44:12,2021-12-07 16:02:02,,,0.053,0.057,0.000611,3.7e-06,0.599,1.22092,0.746573,,,0.006,3.3695,299.6,0.44,0.08
53,1046.01,1046,309787037,309787037.01,1,FP,08h25m40.67s,126.419468,-60d54m27.05s,-60.907514,-1.536,1.0,-9.979,1.0,2460177.867195,1,1.3042553,1,1.706,1,914.0,1,9.36472,1,26944.7,,3569.0,,10.0119,1,301.298,1,6762.0,1,4.11,1,1.75,1,2019-07-24 18:44:12,2024-09-19 10:08:01,,,0.058,0.048,0.001123,2e-06,0.213,628.954,1.30647,,,0.006,2.496,130.2,0.08,0.07
54,1047.01,1047,370745311,370745311.01,1,FP,09h38m19.57s,144.581535,-67d30m18.35s,-67.505097,-35.412,1.0,24.084,1.0,2458544.79061,1,0.62627,1,0.666,1,1880.0,1,5.72162,1,3235.57,,2101.0,,10.2355,1,134.926,1,5622.0,1,4.5,1,0.93,1,2019-07-24 18:44:12,2021-10-29 12:59:15,,,0.104,0.128,0.00092,2e-05,0.169,68.5212,0.894462,,,0.006,1.0555,131.2,0.07,0.05
55,1048.01,1048,384549882,384549882.01,1,FP,09h06m06.65s,136.527702,-54d54m14.12s,-54.903922,-10.863,1.0,7.063,1.0,2458518.376,1,0.30412,1,0.748,1,1330.0,1,10.417,1,280833.0,,6413.0,,8.802,1,440.426,1,11892.0,1,4.14,1,2.52,1,2019-07-24 18:44:12,2021-10-29 12:59:15,,,0.096,0.089,0.00075,1e-05,0.1,3.83107,0.668057,,,0.006,9.484,235.8,0.07,0.09
56,1049.01,1049,16288184,16288184.01,1,KP,16h55m04.52s,253.768848,-28d42m38.1s,-28.710584,-8.568,1.0,-5.562,1.0,2459363.821393,1,2.1805277,1,2.969175,1,16340.1353205,1,16.808853,1,1770.4650539,,1654.404068,,11.0657,1,314.995,1,6599.0,1,4.21017,1,1.2714601,1,2019-07-15 19:20:04,2022-03-30 16:02:02,,,0.1,0.055,0.000699,2.7e-06,0.040721,426.89557,0.8821375,,,0.006,7.0655,200.0,1.96411,0.0635578
57,105.01,105,144065872,144065872.01,1,KP,22h29m49.88s,337.457824,-48d00m11.16s,-48.003099,91.976,1.0,-6.861,1.0,2459084.58501,1,2.1846669,1,2.86528,1,11708.0228549,1,13.7028527,1,1362.1381428,,1549.4409801,,9.4995,1,137.544,1,5630.0,1,4.37759,1,1.23824,1,2018-09-05 18:49:20,2025-03-25 16:00:01,,,0.052,0.069,0.00011,5e-07,0.0090748,34.928566,0.6619751,,,0.006,0.7905,,,0.0596985
58,1050.01,1050,66818296,66818296.01,1,KP,15h59m50.94s,239.962248,-28d03m42.46s,-28.061794,-8.1,1.0,-9.639,1.0,2459355.54563,1,3.7354838,1,4.142,1,17030.0,1,21.2315,1,1292.19,,1670.0,,11.0261,1,405.908,1,6650.0,1,4.1639,1,1.57,1,2019-07-15 19:20:05,2022-10-05 10:10:01,,,0.102,0.055,0.000257,2.1e-06,0.045,0.271732,1.19579,,,0.006,8.6,,,0.09
