rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmrasymerr,st_pmdec,st_pmdecsymerr,pl_tranmid,pl_tranmidsymerr,pl_orbper,pl_orbpersymerr,pl_trandurh,pl_trandurhsymerr,pl_trandep,pl_trandepsymerr,pl_rade,pl_radesymerr,pl_insol,pl_insolsymerr,pl_eqt,pl_eqtsymerr,st_tmag,st_tmagsymerr,st_dist,st_distsymerr,st_teff,st_teffsymerr,st_logg,st_loggsymerr,st_rad,st_radsymerr,toi_created,rowupdate,ra_error,dec_error,st_pmra_error,st_pmdec_error,pl_tranmid_error,pl_orbper_error,pl_trandurh_error,pl_trandep_error,pl_rade_error,pl_insol_error,pl_eqt_error,st_tmag_error,st_dist_error,st_teff_error,st_logg_error,st_rad_error
1215,2019.01,2019,159781361,159781361.01,1,CP,15h37m43.62s,234.431765,+48d57m18.74s,48.955206,12.352,1.0,-46.466,1.0,2460431.584231,1,15.3468182,1,6.425,1,665.0,1,3.99579,1,126.052,,933.0,,9.6087,1,198.007,1,5588.0,1,3.92293,1,1.8,1,2020-06-19 06:00:39,2024-08-15 10:08:02,,,0.033,0.048,0.007257,0.000101,0.609,31.0605,0.250903,,,0.006,0.82,124.973,0.0807668,0.09
1216,202.01,202,355509914,355509914.01,1,PC,01h02m06.01s,15.52504,-59d05m15.81s,-59.087724,17.866,1.0,7.733,1.0,2458326.110175,1,1.7386695,1,1.1898354,1,13710.7615026,1,9.455763,1,418.9214934,,1153.8594476,,14.6723,1,627.339,1,4746.0,1,4.52746,1,0.820258,1,2018-11-14 15:06:55,2024-05-02 10:08:02,,,0.055,0.05,0.000698,5.2e-06,0.2483733,898.478,2.7382448,,,0.006,11.7195,178.0,0.265458,
1217,2020.01,2020,39903405,39903405.01,1,KP,16h20m36.34s,245.151432,+41d02m52.66s,41.04796,-10.312,1.0,-29.198,1.0,2460477.275907,1,5.633477,1,4.132,1,5651.0,1,13.2583,1,588.518,,1372.0,,8.27468,1,127.774,1,6412.8,1,4.09,1,1.7,1,2020-06-19 06:00:39,2024-08-29 10:08:02,,,0.041,0.052,0.000141,1e-06,0.081,22.2349,0.519371,,,0.006,0.424,106.4,0.08,0.07
1218,2021.01,2021,236312126,236312126.01,1,KP,16h02m11.83s,240.549275,+28d10m10.65s,28.169625,-17.422,1.0,14.82,1.0,2459713.291648,1,3.9415041,1,2.866,1,21330.0,1,13.8352,1,321.85,,1179.0,,10.5484,1,163.553,1,5729.0,1,4.52,1,0.92,1,2020-06-19 06:00:39,2022-09-02 16:02:01,,,0.034,0.043,0.000309,1.9e-06,0.057,0.712596,0.594068,,,0.006,0.6195,103.1,0.07,0.04
1219,2022.01,2022,11996814,11996814.01,1,FP,02h04m40.93s,31.17055,+65d17m21.59s,65.289331,-26.036,1.0,24.771,1.0,2458790.849435,1,0.4487349,1,2.8757897,1,3572.0328032,1,5.8054498,1,928.877466,,1408.021727,,11.6484,1,89.3047,1,3975.0,1,4.62844,1,0.627144,1,2020-06-19 06:00:39,2021-10-29 12:59:15,,,0.04,0.049,0.00067,2.8e-06,0.0967836,106.911674,1.7503514,,,0.007,0.23835,157.0,0.0110764,0.0183442
1220,2023.01,2023,16884216,16884216.01,1,APC,15h31m27.2s,232.863345,+33d54m09.06s,33.902516,42.582,1.0,112.198,1.0,2458964.128568,1,11.1900486,1,2.9741507,1,567.7989939,1,1.6608182,1,31.192573,,602.7435196,,8.5049,1,36.9284,1,4958.0,1,4.66667,1,0.695992,1,2020-06-19 06:00:40,2024-06-23 12:02:48,,,0.036,0.047,0.003645,0.0049587,0.5782486,77.54692,1.7278615,,,0.006,0.034,122.161,0.0900016,0.0442211
1221,2024.01,2024,255930614,255930614.01,1,KP,16h30m29.52s,247.622983,+38d20m51.13s,38.347535,-77.899,1.0,52.564,1.0,2460476.023499,1,2.8758831,1,3.14,1,3152.0,1,8.33267,1,1095.91,,1602.0,,7.6262,1,75.8643,1,6084.0,1,4.17,1,1.46,1,2020-06-19 06:00:40,2024-08-29 10:08:02,,,0.048,0.056,0.001062,1.08e-05,0.074,99.4912,0.442252,,,0.006,0.17365,139.9,0.09,0.07
1222,2025.01,2025,394050135,394050135.01,1,CP,18h51m10.86s,282.795256,+82d14m43.49s,82.245414,2.791,1.0,-4.521,1.0,2459754.939635,1,8.8720542,1,3.6593396,1,6144.296801,1,11.9849813,1,343.7177625,,1098.1716895,,10.9461,1,335.985,1,6042.0,1,4.15,1,1.47996,1,2020-06-19 07:20:03,2023-06-16 12:02:57,,,0.036,0.045,0.000566,1.15e-05,0.0396899,58.206493,0.5755136,,,0.006,2.417,136.0,0.08,0.06901
1223,2026.01,2026,407059875,407059875.01,1,PC,00h21m52.69s,5.469534,+66d10m05.23s,66.168119,-47.349,1.0,-11.911,1.0,2459904.708769,1,7.1925327,1,2.551,1,1180.0,1,2.5719,1,75.7071,,821.0,,10.5782,1,108.076,1,5050.0,1,4.59,1,0.77,1,2020-06-19 07:20:03,2024-09-01 12:02:56,,,0.046,0.038,0.003743,3.5e-05,0.911,117.064,0.226756,,,0.006,0.3155,146.8,0.09,0.05
1224,2027.01,2027,335996558,335996558.01,1,FP,22h13m19.66s,333.331904,+62d51m26.59s,62.857385,4.812,1.0,1.212,1.0,2458739.50775,1,1.46329,1,2.431,1,750.0,1,3.54656,1,3541.21,,2149.0,,10.5027,1,238.061,1,6168.0,1,4.29,1,1.28,1,2020-06-19 07:20:03,2021-10-29 12:59:15,,,0.093,0.081,0.00259,2e-05,0.355,1.03585,0.217751,,,0.006,2.459,232.5,0.1,0.06
