kepoi_name,koi_disposition,ra,dec,koi_period,koi_time0bk,koi_eccen,koi_longp,koi_incl,koi_impact,koi_sma,koi_duration,koi_depth,koi_ingress,koi_prad,koi_insol,koi_teq,koi_srad,koi_smass,koi_sage,koi_steff,koi_slogg,koi_smet,koi_kepmag,data_source,koi_smass_calculated,koi_sma_calculated,koi_incl_calculated
K00750.01,CONFIRMED,290.46512,47.92918,21.67699193,2455004.53594,0.0,,87.91,0.896,0.1408,3.4555,857.2,,2.95,18.64,530.0,0.828,0.791,,4954.0,4.5,0.18,15.377,Kepler,False,False,False
K00751.01,CONFIRMED,297.80826,47.946671,4.99677968,2455004.74208,0.0,,86.9,0.71,0.0559,2.1717,934.7,,2.78,166.95,917.0,0.847,0.931,,5339.0,4.552,0.18,15.861,Kepler,False,False,False
K00769.01,CONFIRMED,294.26581,49.314091,4.280963604,2455004.89659,0.0,,87.72,0.424,0.0503,2.875,750.8,,2.3,247.87,1012.0,0.831,0.928,,5644.0,4.564,-0.14,15.356,Kepler,False,False,False
K00770.01,FALSE POSITIVE,295.66522,49.351009,1.50635409,2455003.998064,0.0,,79.38,0.86,0.025,1.5155,2211.7,,4.53,1054.12,1452.0,0.831,0.926,,5714.0,4.563,-0.2,15.525,Kepler,False,False,False
K00771.01,FALSE POSITIVE,296.69861,49.316479,670.645531,2455042.04355,0.0,,89.53,0.701,1.5155,53.412,18091.0,,14.14,0.35,196.0,0.983,1.03,,5520.0,4.466,0.48,15.207,Kepler,False,False,False
K00772.01,FALSE POSITIVE,283.72592,49.479519,61.2563628,2455006.83826,0.0,,87.54,1.248,0.3137,7.633,5123.3,,39.87,15.43,505.0,1.091,1.093,,6144.0,4.402,0.0,15.25,Kepler,False,False,False
K00773.01,CONFIRMED,291.72202,49.480869,38.3775486,2455005.82048,0.0,,89.44,0.468,0.2163,5.588,724.2,,2.82,18.53,529.0,1.036,0.915,,5481.0,4.369,0.16,15.172,Kepler,False,False,False
K00757.02,CONFIRMED,286.99948,48.37579,41.19725502,2454998.00404,0.0,,89.96,0.045,0.217,4.6297,2213.9,,3.86,8.76,439.0,0.848,0.801,,5031.0,4.485,0.16,15.841,Kepler,False,False,False
K00757.03,CONFIRMED,286.99948,48.37579,6.252962249,2455004.30126,0.0,,89.68,0.105,0.0617,2.5819,1036.9,,2.65,108.3,823.0,0.848,0.801,,5031.0,4.485,0.16,15.841,Kepler,False,False,False
K00758.01,CONFIRMED,297.02563,48.478588,16.01308419,2455009.3608,0.0,,88.14,0.799,0.1148,3.2554,1121.9,,3.1,29.31,593.0,0.826,0.785,,5015.0,4.499,0.1,15.39,Kepler,False,False,False
K00759.01,CONFIRMED,285.71854,48.505859,32.62876672,2455027.1019,0.0,,89.98,0.021,0.1889,4.7971,1804.8,,3.36,15.55,506.0,0.798,0.844,,5586.0,4.56,-0.3,15.082,Kepler,False,False,False
K00759.02,CONFIRMED,285.71854,48.505859,91.7732862,2455026.8378,0.0,,89.61,0.606,0.3764,6.473,652.0,,2.12,3.92,359.0,0.798,0.844,,5586.0,4.56,-0.3,15.082,Kepler,False,False,False
K00760.01,CONFIRMED,292.16705,48.727589,4.959319244,2455005.2585292,0.0,,86.15,0.831,0.0565,2.22739,9802.0,,12.21,349.4,1103.0,1.082,0.976,,5712.0,4.359,0.1,15.263,Kepler,False,False,False
K00761.01,FALSE POSITIVE,297.92365,48.777321,2.701287801,2455003.69579,0.0,,62.69,1.016,0.0365,3.3827,860.4,,6.54,527.81,1222.0,0.91,0.889,,5550.0,4.468,-0.04,15.54,Kepler,False,False,False
K00762.01,CONFIRMED,298.45685,48.791592,4.49876511,2455004.34905,0.0,,88.0,0.312,0.0542,3.7362,460.0,,2.1,389.62,1133.0,0.969,1.048,,6075.0,4.486,-0.12,15.395,Kepler,False,False,False
K00763.01,FALSE POSITIVE,291.0939,48.933842,19.651209505,2455012.401981,0.0,,88.27,0.723,0.1433,5.2514,11766.0,,12.42,67.03,730.0,1.063,1.014,,6074.0,4.391,-0.12,15.536,Kepler,False,False,False
K00115.01,CONFIRMED,287.88733,46.276241,5.412203927,2454966.143089,0.0,,85.12,0.787,0.0591,2.9472,601.6,,2.94,337.68,1093.0,1.087,0.941,,5779.0,4.339,-0.06,12.791,Kepler,False,False,False
K00764.01,CONFIRMED,295.55505,49.017342,41.43958662,2455041.93203,0.0,,89.31,0.355,0.2288,10.5989,2793.1,,5.5,16.72,516.0,1.046,0.93,,5468.0,4.367,0.22,15.4,Kepler,False,False,False
K00765.01,CONFIRMED,285.49924,49.277351,8.35389523,2455004.63257,0.0,,89.95,0.023,0.0768,2.2514,1041.6,,2.52,91.9,790.0,0.787,0.862,,5592.0,4.582,-0.28,15.317,Kepler,False,False,False
K00766.01,CONFIRMED,291.93616,49.253979,4.125543472,2455002.752585,0.0,,85.95,0.597,0.0529,3.1744,1487.3,,4.43,565.35,1243.0,1.103,1.162,,6174.0,4.417,0.1,15.506,Kepler,False,False,False
K00767.01,CONFIRMED,297.01547,49.225288,2.816504904,2455003.9676846,0.0,,89.37,0.105,0.0383,2.50587,16814.0,,12.21,521.13,1219.0,0.955,0.941,,5532.0,4.452,0.14,15.052,Kepler,False,False,False
K00768.01,FALSE POSITIVE,284.17233,49.360722,33.93373447,2455019.67608,0.0,,86.45,0.812,0.1881,14.561,8503.7,,7.34,8.11,430.0,0.705,0.782,,5040.0,4.628,-0.24,15.716,Kepler,False,False,False
K00786.01,CONFIRMED,291.62241,50.61824,3.689920099,2455003.36571,0.0,,89.19,0.151,0.0469,2.6557,426.7,,1.89,408.99,1147.0,0.917,1.01,,5880.0,4.518,-0.06,15.242,Kepler,False,False,False
K00787.01,CONFIRMED,295.81616,51.121738,4.431238488,2455004.015,0.0,,87.72,0.405,0.0529,3.15,1010.9,,3.25,351.23,1104.0,1.015,1.007,,5714.0,4.428,0.16,15.367,Kepler,False,False,False
K00787.02,CONFIRMED,295.81616,51.121738,11.37936986,2454966.84992,0.0,,86.8,0.911,0.0993,2.6255,1023.5,,3.95,99.68,806.0,1.015,1.007,,5714.0,4.428,0.16,15.367,Kepler,False,False,False
K00788.01,CONFIRMED,289.39972,51.25032,26.39432897,2455009.05459,0.0,,89.28,0.602,0.1635,3.573,1510.9,,3.07,13.49,489.0,0.763,0.846,,5129.0,4.595,0.02,15.234,Kepler,False,False,False
K00116.01,CONFIRMED,300.86398,44.337551,13.57078281,2454969.279194,0.0,,87.07,0.866,0.1096,3.3539,511.7,,2.64,89.61,785.0,1.012,0.951,,5854.0,4.406,-0.12,12.882,Kepler,False,False,False
K00115.02,CONFIRMED,287.88733,46.276241,7.12594387,2454972.00492,0.0,,84.02,0.898,0.0711,3.0014,192.4,,1.79,233.31,997.0,1.087,0.941,,5779.0,4.339,-0.06,12.791,Kepler,False,False,False
K00774.01,FALSE POSITIVE,288.98682,49.733742,7.442652004,2455002.9717797,0.0,,89.72,0.137,0.0742,2.3078,24446.0,,15.03,206.78,967.0,0.956,0.981,,6108.0,4.469,-0.3,15.27,Kepler,False,False,False
K00775.01,CONFIRMED,286.73804,49.97575,16.38489988,2455005.72782,0.0,,90.0,0.001,0.1084,3.0249,1127.1,,2.0,8.35,433.0,0.615,0.633,,4126.0,4.661,0.04,15.095,Kepler,False,False,False
K00775.02,CONFIRMED,286.73804,49.97575,7.8774163,2455009.3759,0.0,,89.92,0.041,0.0665,2.0805,1306.1,,2.16,22.18,553.0,0.615,0.633,,4126.0,4.661,0.04,15.095,Kepler,False,False,False
K00775.03,CONFIRMED,286.73804,49.97575,36.4454001,2454984.60125,0.0,,89.98,0.028,0.1847,4.007,1122.3,,1.99,2.88,332.0,0.615,0.633,,4126.0,4.661,0.04,15.095,Kepler,False,False,False
