kepoi_name,koi_disposition,ra,dec,koi_period,koi_time0bk,koi_eccen,koi_longp,koi_incl,koi_impact,koi_sma,koi_duration,koi_depth,koi_ingress,koi_prad,koi_insol,koi_teq,koi_srad,koi_smass,koi_sage,koi_steff,koi_slogg,koi_smet,koi_kepmag,data_source,koi_smass_calculated,koi_sma_calculated,koi_incl_calculated
K01927.01,FALSE POSITIVE,296.98605,42.72998,47.76397728,2454998.041066,,,89.0,,,4.08,,,,,,,,,,,,9.668,Kepler,False,False,False
K01928.01,CONFIRMED,283.80954,41.041241,63.0380366,2455002.12161,0.0,,89.98,0.021,0.3076,7.3702,658.7,,2.59,11.1,465.0,1.019,0.976,,5798.0,4.411,0.0,13.605,Kepler,False,False,False
K01929.01,CONFIRMED,290.06049,47.16396,9.69315023,2454965.81362,0.0,,85.39,0.734,0.0894,5.6725,141.8,,1.89,253.08,1017.0,1.472,1.014,,5683.0,4.108,0.1,12.727,Kepler,False,False,False
K02003.01,FALSE POSITIVE,298.83334,46.65453,8.48031229,2454968.85319,0.0,,74.43,0.951,0.0809,7.105,351.1,,2.58,193.86,952.0,1.078,0.982,,5910.0,4.364,-0.08,14.613,Kepler,False,False,False
K02004.01,CONFIRMED,288.64627,50.788979,56.1886436,2454979.37945,0.0,,88.56,0.873,0.2939,6.5272,346.2,,2.56,15.13,503.0,1.176,1.071,,5700.0,4.327,0.34,13.351,Kepler,False,False,False
K02005.01,CONFIRMED,281.89835,42.165791,6.92101452,2454968.64343,0.0,,84.6,0.771,0.059,4.3591,529.7,,1.48,34.85,619.0,0.585,0.571,,4461.0,4.661,-0.6,14.832,Kepler,False,False,False
K02006.01,CONFIRMED,287.34674,47.772961,3.27344784,2454967.45023,0.0,,88.1,0.44,0.0349,1.7292,262.5,,0.81,36.05,625.0,0.496,0.528,,3758.0,4.769,0.0,14.22,Kepler,False,False,False
K02007.01,CONFIRMED,282.92499,48.626389,15.3789014,2454976.40629,0.0,,89.14,0.359,0.1313,4.662,185.1,,2.94,275.53,1039.0,2.153,1.276,,5817.0,3.877,0.18,13.127,Kepler,False,False,False
K01783.01,CONFIRMED,289.34143,46.988239,134.4785189,2455002.28141,0.0,,89.44,0.924,0.5135,5.9288,4033.5,,10.52,6.81,412.0,1.336,0.996,,5791.0,4.185,0.02,13.929,Kepler,False,False,False
K01784.01,CANDIDATE,297.64606,47.167488,5.007414194,2454968.024066,0.0,,86.58,0.926,0.058,1.3584,4413.9,,8.8,363.75,1114.0,1.042,1.034,,5957.0,4.417,0.0,13.592,Kepler,False,False,False
K01786.01,FALSE POSITIVE,294.207,38.22345,24.68662378,2454970.53976,0.0,,86.62,0.643,0.1633,15.168,8052.3,,48.04,412.55,1149.0,5.132,0.95,,4648.0,2.996,0.14,14.633,Kepler,False,False,False
K01787.01,CONFIRMED,287.95657,41.130329,98.7179332,2454964.58694,0.0,,89.68,0.588,0.3982,6.593,7320.0,,6.99,3.97,360.0,0.786,0.871,,5808.0,4.583,-0.46,15.7,Kepler,False,False,False
K01788.01,CONFIRMED,287.73755,38.114559,71.52543938,2455024.69147,0.0,,89.96,0.066,0.3091,5.9189,5904.3,,5.76,3.15,340.0,0.778,0.769,,4855.0,4.542,0.12,14.521,Kepler,False,False,False
K01861.01,CANDIDATE,292.16617,38.739052,17.50441726,2454968.74731,0.0,,89.99,0.006,0.1289,4.2585,725.4,,3.56,108.78,824.0,1.329,0.933,,5815.0,4.16,-0.18,13.926,Kepler,False,False,False
K00202.01,CONFIRMED,286.11032,43.680962,1.72086129,2454966.0209998,0.0,,82.35,0.725,0.0287,2.0243,10184.0,,13.25,1743.61,1647.0,1.215,1.068,,5742.0,4.297,0.26,14.309,Kepler,False,False,False
K01862.01,CONFIRMED,293.09399,42.896431,56.4349933,2454984.41082,0.0,,89.99,0.019,0.276,4.7381,580.0,,2.37,11.04,465.0,1.001,0.88,,5534.0,4.381,0.0,13.668,Kepler,False,False,False
K01863.01,CONFIRMED,285.66711,48.719559,33.7888028,2454986.65384,0.0,,89.91,0.078,0.2127,5.496,649.2,,2.71,33.01,611.0,1.062,1.122,,6202.0,4.436,-0.02,13.631,Kepler,False,False,False
K01864.01,CONFIRMED,289.43811,39.270359,3.215109385,2454966.77747,0.0,,63.99,0.954,0.0418,4.365,158.0,,1.54,421.21,1155.0,0.934,0.942,,5541.0,4.472,0.12,13.405,Kepler,False,False,False
K01929.02,CONFIRMED,290.06049,47.16396,3.29276797,2454966.00741,0.0,,80.59,0.663,0.0435,4.8069,80.7,,1.39,1068.95,1458.0,1.472,1.014,,5683.0,4.108,0.1,12.727,Kepler,False,False,False
K01930.01,CONFIRMED,282.97897,40.784351,13.72710334,2454971.74473,0.0,,89.9,0.025,0.1154,7.3419,199.2,,2.38,241.58,1005.0,1.693,1.086,,5951.0,4.017,-0.08,12.119,Kepler,False,False,False
K01930.02,CONFIRMED,282.97897,40.784351,24.3110031,2454970.0394,0.0,,89.61,0.146,0.169,8.7682,184.4,,2.3,112.64,831.0,1.693,1.086,,5951.0,4.017,-0.08,12.119,Kepler,False,False,False
K01930.03,CONFIRMED,282.97897,40.784351,44.4304059,2454976.5462,0.0,,89.96,0.025,0.2526,10.306,238.5,,2.61,50.42,680.0,1.693,1.086,,5951.0,4.017,-0.08,12.119,Kepler,False,False,False
K01930.04,CONFIRMED,282.97897,40.784351,9.34145925,2454965.38581,0.0,,87.49,0.455,0.0893,6.18,81.7,,1.56,403.44,1143.0,1.693,1.086,,5951.0,4.017,-0.08,12.119,Kepler,False,False,False
K01931.01,CONFIRMED,293.35172,48.444641,4.97760447,2454967.67304,0.0,,87.96,0.474,0.0545,2.5719,287.3,,1.75,258.91,1023.0,1.023,0.87,,5353.0,4.358,0.16,14.531,Kepler,False,False,False
K02007.02,CONFIRMED,282.92499,48.626389,21.1285655,2454982.27632,0.0,,89.48,0.36,0.1622,3.852,176.7,,2.88,180.55,935.0,2.153,1.276,,5817.0,3.877,0.18,13.127,Kepler,False,False,False
K02008.01,FALSE POSITIVE,292.22629,43.995312,24.4851178,2454970.6248,0.0,,84.73,0.987,0.1857,4.642,263.8,,7.14,456.64,1179.0,2.995,1.42,,6655.0,3.638,-0.58,10.8,Kepler,False,False,False
K00216.02,CONFIRMED,299.21317,41.424831,7.51854537,2454965.53078,0.0,,89.63,0.13,0.0701,2.845,286.7,,1.42,89.41,784.0,0.864,0.811,,5064.0,4.474,0.18,14.711,Kepler,False,False,False
K02009.01,CANDIDATE,292.77399,37.797691,86.7490807,2455003.29281,0.0,,90.0,0.003,0.3706,9.179,547.1,,2.23,5.94,398.0,0.97,0.901,,5579.0,4.419,0.0,13.82,Kepler,False,False,False
K02010.01,CONFIRMED,295.15811,40.898849,25.96190067,2454971.96908,0.0,,89.96,0.02,0.1891,6.2732,350.3,,3.25,123.11,850.0,1.729,1.337,,6369.0,4.088,0.06,13.2,Kepler,False,False,False
K01790.01,CONFIRMED,285.37195,41.993912,130.3543929,2454977.06022,0.0,,89.7,0.675,0.5183,6.474,5128.7,,7.7,4.36,369.0,1.015,1.089,,5970.0,4.463,0.1,15.254,Kepler,False,False,False
K00196.01,CONFIRMED,294.51324,45.98164,1.855557556,2454970.181028,0.0,,84.47,0.554,0.0286,2.35672,10570.0,,10.05,1004.89,1436.0,0.947,0.903,,5657.0,4.441,-0.08,14.465,Kepler,False,False,False
K01793.01,CANDIDATE,298.31674,40.996101,3.261759866,2454964.778858,0.0,,82.54,0.949,0.0434,1.7593,3876.1,,8.01,599.54,1262.0,0.945,1.023,,6131.0,4.497,-0.24,15.28,Kepler,False,False,False
K01794.01,FALSE POSITIVE,299.35651,41.414291,3.364425589,2454964.66843,0.0,,80.55,1.597,0.0417,1.3261,4843.0,,56.83,352.97,1106.0,0.775,0.855,,5813.0,4.589,-0.52,15.337,Kepler,False,False,False
K01797.01,CONFIRMED,295.85938,47.93951,16.78175788,2454972.79356,0.0,,89.07,0.502,0.118,3.7386,908.0,,2.25,20.82,545.0,0.742,0.778,,4925.0,4.588,0.0,12.971,Kepler,False,False,False
K01866.01,CONFIRMED,289.41107,46.130852,105.3035093,2455040.17015,0.0,,89.99,0.027,0.4238,6.214,1362.2,,3.18,3.58,351.0,0.875,0.914,,5534.0,4.515,0.0,14.986,Kepler,False,False,False
K01867.01,CONFIRMED,292.64236,44.087669,2.549562652,2454965.60803,0.0,,89.77,0.047,0.0293,1.6999,495.1,,1.11,50.9,682.0,0.506,0.513,,3716.0,4.74,0.04,15.018,Kepler,False,False,False
K01867.02,CONFIRMED,292.64236,44.087669,13.96950181,2454965.17062,0.0,,88.5,0.901,0.0909,1.5871,1110.0,,2.04,5.29,387.0,0.506,0.513,,3716.0,4.74,0.04,15.018,Kepler,False,False,False
K01867.03,CONFIRMED,292.64236,44.087669,5.21230171,2454965.71052,0.0,,89.44,0.187,0.0471,2.098,430.0,,1.04,19.7,537.0,0.506,0.513,,3716.0,4.74,0.04,15.018,Kepler,False,False,False
K01868.01,CONFIRMED,290.7084,42.237251,17.76076524,2454970.50778,0.0,,89.46,0.627,0.1085,1.6679,1287.2,,1.93,4.34,368.0,0.516,0.54,,3826.0,4.744,-0.06,15.22,Kepler,False,False,False
K01931.02,CONFIRMED,293.35172,48.444641,10.55840479,2454969.34449,0.0,,89.23,0.31,0.09,3.366,194.2,,1.41,94.94,796.0,1.023,0.87,,5353.0,4.358,0.16,14.531,Kepler,False,False,False
K00210.01,CANDIDATE,292.78235,47.800629,20.92735802,2454972.325791,0.0,,87.87,0.991,0.1498,3.4256,8091.0,,17.36,69.08,735.0,1.109,1.021,,6126.0,4.358,-0.12,14.877,Kepler,False,False,False
K01931.03,CONFIRMED,293.35172,48.444641,6.98800953,2454965.56964,0.0,,89.92,0.024,0.0683,3.103,193.2,,1.39,164.86,914.0,1.023,0.87,,5353.0,4.358,0.16,14.531,Kepler,False,False,False
K01932.01,CONFIRMED,295.93347,40.300571,22.8245144,2454977.46843,0.0,,89.38,0.279,0.177,6.617,322.7,,3.36,189.46,946.0,1.846,1.421,,6642.0,4.057,-0.02,12.345,Kepler,False,False,False
K01933.01,CONFIRMED,283.59668,45.407879,49.1011093,2454969.47265,0.0,,89.43,0.52,0.253,6.341,845.6,,3.28,14.57,498.0,1.11,0.895,,5393.0,4.299,0.2,15.041,Kepler,False,False,False
K02011.01,CONFIRMED,297.25504,40.54837,7.05675145,2454965.53512,0.0,,88.28,0.631,0.0778,2.0261,130.0,,1.68,483.95,1196.0,1.402,1.259,,6388.0,4.244,0.1,12.556,Kepler,False,False,False
K02012.01,CONFIRMED,295.34271,46.602261,34.8536903,2454997.04668,0.0,,89.37,0.493,0.2046,5.333,767.7,,2.4,17.62,522.0,0.848,0.937,,5818.0,4.554,-0.22,14.876,Kepler,False,False,False
K02013.01,CONFIRMED,291.41864,39.127419,2.41434868,2454965.42878,0.0,,89.12,0.221,0.0315,1.2701,191.0,,0.97,195.08,953.0,0.724,0.715,,4507.0,4.573,0.18,13.156,Kepler,False,False,False
K02014.01,FALSE POSITIVE,296.05042,42.113239,2.466070972,2454965.32097,0.0,,64.63,1.223,0.0353,1.9559,704.5,,24.3,595.8,1260.0,0.884,0.963,,5708.0,4.529,-0.04,15.601,Kepler,False,False,False
K02016.01,CONFIRMED,290.60114,44.556381,4.30656389,2454965.44098,0.0,,77.07,0.894,0.054,4.1107,257.0,,1.95,453.2,1177.0,1.03,1.132,,6108.0,4.466,0.07,14.136,Kepler,False,False,False
K01798.01,FALSE POSITIVE,293.1962,42.370628,12.964717746,2454969.143342,0.0,,86.89,1.282,0.1115,1.8303,3732.9,,39.93,114.24,834.0,1.033,1.093,,6210.0,4.45,-0.1,14.384,Kepler,False,False,False
K01799.01,FALSE POSITIVE,296.30573,41.31712,1.731079436,2454967.77977,0.0,,72.75,1.404,0.0286,1.8419,11974.0,,56.05,1332.5,1541.0,0.955,1.038,,6045.0,4.494,-0.12,15.505,Kepler,False,False,False
K01800.01,CONFIRMED,285.26859,48.560009,7.794302043,2454970.260385,0.0,,87.52,1.06,0.0742,1.1081,3387.4,,16.51,142.82,882.0,0.982,0.893,,5494.0,4.405,0.07,12.394,Kepler,False,False,False
K01801.01,CONFIRMED,288.47144,40.269791,14.5324483,2454973.72407,0.0,,90.0,0.001,0.1083,3.13,1355.9,,3.11,46.06,664.0,0.86,0.802,,5345.0,4.473,-0.12,14.625,Kepler,False,False,False
K01802.01,CONFIRMED,292.53082,49.06171,5.248667607,2454968.516708,0.0,,86.0,0.847,0.0596,1.917,601.2,,2.84,293.42,1056.0,1.012,1.021,,5807.0,4.437,0.1,13.345,Kepler,False,False,False
K01870.01,CONFIRMED,281.58292,47.233631,7.96431492,2454969.81646,0.0,,89.73,0.189,0.0734,1.5342,746.0,,2.44,99.42,805.0,0.91,0.831,,5185.0,4.44,0.16,14.425,Kepler,False,False,False
K01871.01,CONFIRMED,285.25366,46.582191,92.7297248,2455010.43808,0.0,,89.19,0.857,0.3608,6.83,1257.5,,2.81,1.38,276.0,0.675,0.748,,4580.0,4.641,0.08,14.897,Kepler,False,False,False
K00203.01,CONFIRMED,298.39526,47.81501,1.485710994,2454965.7935653,0.0,,88.93,0.105,0.0257,2.2874,20824.0,,14.48,1404.81,1562.0,1.018,1.021,,5624.0,4.432,0.3,14.141,Kepler,False,False,False
K01872.01,CANDIDATE,288.31332,46.771431,30.5231459,2454979.85072,0.0,,88.2,1.06,0.183,2.7286,2212.3,,11.26,15.46,506.0,0.79,0.885,,5518.0,4.585,-0.2,15.841,Kepler,False,False,False
K01873.01,CONFIRMED,295.8093,40.008511,71.3116598,2454965.39239,0.0,,89.97,0.035,0.354,8.813,2138.0,,4.94,12.01,475.0,1.069,1.161,,6194.0,4.445,0.07,15.674,Kepler,False,False,False
K01934.01,CANDIDATE,284.96967,39.360291,28.78270955,2454965.3189,0.0,,90.0,0.002,0.1685,3.451,864.5,,2.11,9.09,443.0,0.745,0.77,,4774.0,4.58,0.12,14.649,Kepler,False,False,False
K01935.01,FALSE POSITIVE,299.6517,40.545681,15.44428875,2454971.1678,0.0,,87.04,1.275,0.1255,2.0791,3596.2,,37.58,67.39,731.0,0.991,1.105,,5895.0,4.489,0.21,15.838,Kepler,False,False,False
K01937.01,CONFIRMED,283.71753,47.204449,1.411230023,2454965.641925,0.0,,78.73,0.851,0.0221,1.4325,388.2,,1.71,436.04,1164.0,0.737,0.726,,4575.0,4.564,0.18,13.59,Kepler,False,False,False
K01938.01,CONFIRMED,292.67255,46.377419,96.9151707,2455020.08955,0.0,,89.71,0.541,0.3878,6.065,862.8,,2.37,2.64,325.0,0.791,0.826,,5162.0,4.559,0.0,14.031,Kepler,False,False,False
K01939.01,CONFIRMED,295.2049,42.559681,13.47472742,2454966.48999,0.0,,89.96,0.025,0.1034,2.5995,729.6,,1.96,38.21,634.0,0.734,0.821,,5395.0,4.615,-0.34,15.164,Kepler,False,False,False
K02017.01,CONFIRMED,290.48676,44.932621,2.29503515,2454965.69329,0.0,,89.14,0.16,0.0331,1.654,172.1,,1.18,681.51,1304.0,0.909,0.914,,5637.0,4.482,-0.06,13.09,Kepler,False,False,False
K02018.01,CONFIRMED,299.526,46.899261,27.495634,2454966.28538,0.0,,88.87,0.664,0.1629,4.858,483.3,,2.11,28.66,590.0,0.911,0.762,,5657.0,4.401,-0.48,14.55,Kepler,False,False,False
K02019.01,CONFIRMED,297.45215,41.558128,14.08826442,2454970.34334,0.0,,89.71,0.133,0.1138,4.1847,889.4,,2.66,64.97,724.0,0.895,0.99,,5853.0,4.529,-0.1,15.624,Kepler,False,False,False
K00217.01,CONFIRMED,294.86551,46.285851,3.905081685,2454966.4150433,0.0,,89.37,0.131,0.0485,2.8213,21340.0,,12.78,282.59,1046.0,0.887,0.997,,5543.0,4.54,0.21,15.127,Kepler,False,False,False
K02020.01,CONFIRMED,294.59579,45.875031,110.9643706,2455020.04621,0.0,,89.14,0.729,0.3679,12.831,1283.2,,2.11,0.77,239.0,0.546,0.538,,4441.0,4.695,-0.86,15.498,Kepler,False,False,False
K01803.01,CANDIDATE,286.63553,39.488621,4.539297295,2454966.9595824,0.0,,85.63,0.83,0.0494,1.9455,798.1,,2.34,112.09,830.0,0.724,0.783,,4914.0,4.61,-0.04,13.26,Kepler,False,False,False
K01805.01,CONFIRMED,288.81195,39.77066,6.94135824,2454970.5437,0.0,,86.78,0.871,0.0682,1.8899,825.0,,2.96,139.05,876.0,0.88,0.875,,5527.0,4.491,-0.08,13.828,Kepler,False,False,False
K00197.01,CONFIRMED,290.83313,38.184349,17.276296682,2454966.839172,0.0,,89.87,0.085,0.1209,3.94738,10458.0,,7.31,19.88,538.0,0.738,0.79,,4941.0,4.599,0.0,14.018,Kepler,False,False,False
K01805.02,CONFIRMED,288.81195,39.77066,31.7821117,2454967.8645,0.0,,89.85,0.17,0.1879,3.856,570.2,,2.08,18.32,528.0,0.88,0.875,,5527.0,4.491,-0.08,13.828,Kepler,False,False,False
K01805.03,CONFIRMED,288.81195,39.77066,4.36273233,2454968.23342,0.0,,86.03,0.732,0.05,2.2375,341.6,,1.76,258.7,1023.0,0.88,0.875,,5527.0,4.491,-0.08,13.828,Kepler,False,False,False
K01874.01,CONFIRMED,299.26804,45.227428,18.6848377,2454969.14587,0.0,,89.35,0.405,0.1135,3.7965,1251.5,,1.93,6.16,402.0,0.545,0.559,,4156.0,4.712,-0.44,15.434,Kepler,False,False,False
K01874.02,CONFIRMED,299.26804,45.227428,7.41634701,2454968.85372,0.0,,88.86,0.476,0.0613,2.1362,505.5,,1.24,21.1,547.0,0.545,0.559,,4156.0,4.712,-0.44,15.434,Kepler,False,False,False
K01875.01,CONFIRMED,297.9382,46.881401,9.91724268,2454968.1389,0.0,,87.06,0.786,0.0883,3.2241,457.9,,2.85,157.41,903.0,1.207,0.932,,5539.0,4.244,0.14,14.498,Kepler,False,False,False
K01876.01,CONFIRMED,297.09067,49.626572,82.5341188,2455042.12763,0.0,,89.99,0.033,0.3104,4.8556,1895.4,,2.45,1.08,260.0,0.58,0.584,,4316.0,4.678,-0.44,15.187,Kepler,False,False,False
K01877.01,CONFIRMED,284.4303,47.641781,20.16037858,2454977.34281,0.0,,86.39,0.941,0.1339,4.13,343.6,,1.75,16.03,510.0,0.724,0.818,,4975.0,4.614,0.02,13.389,Kepler,False,False,False
K01940.01,CONFIRMED,289.35202,46.973728,10.99470891,2454970.35769,0.0,,89.71,0.265,0.0805,1.5929,884.7,,1.71,16.24,512.0,0.586,0.573,,4302.0,4.661,-0.44,15.389,Kepler,False,False,False
K01940.02,CANDIDATE,289.35202,46.973728,6.73679732,2454969.4043415,,,89.0,,,2.36,,,,,,,,,,,,15.389,Kepler,False,False,False
K00211.01,CANDIDATE,287.97031,47.972099,124.03589939,2454969.015098,0.0,,89.98,0.075,0.4947,4.8472,7690.0,,11.13,6.88,413.0,1.28,1.047,,5822.0,4.244,0.14,14.989,Kepler,False,False,False
K01941.01,FALSE POSITIVE,298.21765,40.341019,1.194812329,2454965.18329,0.0,,86.26,0.404,0.0222,1.3777,189.5,,1.36,2521.46,1806.0,0.97,1.024,,6198.0,4.475,-0.28,14.029,Kepler,False,False,False
K01942.01,CONFIRMED,286.00674,38.009541,10.84969477,2454969.74432,0.0,,88.49,0.55,0.0914,3.474,1122.1,,2.67,49.3,676.0,0.778,0.869,,5251.0,4.592,-0.04,15.409,Kepler,False,False,False
K01944.01,CONFIRMED,290.32867,37.72311,12.18420006,2454972.05644,0.0,,88.36,0.746,0.1031,2.5014,499.3,,2.59,106.52,819.0,1.068,0.984,,5771.0,4.374,0.06,13.982,Kepler,False,False,False
K02021.01,CONFIRMED,289.22021,41.706478,3.76417012,2454965.35462,0.0,,88.83,0.287,0.044,2.0111,558.4,,1.7,160.99,908.0,0.728,0.813,,5063.0,4.617,-0.14,15.484,Kepler,False,False,False
K02022.01,CONFIRMED,293.67648,44.615582,5.92972237,2454968.49811,0.0,,89.85,0.048,0.0649,2.518,412.1,,1.92,210.95,972.0,0.956,1.035,,5741.0,4.492,0.16,14.746,Kepler,False,False,False
K02022.02,CONFIRMED,293.67648,44.615582,12.2476121,2454971.2196,0.0,,89.77,0.116,0.1052,3.209,402.7,,1.9,80.29,763.0,0.956,1.035,,5741.0,4.492,0.16,14.746,Kepler,False,False,False
K02023.01,CONFIRMED,297.95416,44.66748,13.59051547,2454966.07217,0.0,,89.51,0.232,0.1072,3.784,621.9,,2.4,64.8,724.0,0.974,0.887,,5442.0,4.409,0.1,15.15,Kepler,False,False,False
K02024.01,CONFIRMED,286.02518,39.630932,46.8776724,2454970.66791,0.0,,87.75,0.834,0.2495,10.041,539.8,,2.62,13.01,484.0,0.993,0.943,,5504.0,4.418,0.2,14.632,Kepler,False,False,False
K01808.01,CONFIRMED,294.74332,43.461208,89.1935737,2455050.82184,0.0,,89.99,0.015,0.3987,4.0104,868.3,,3.81,12.83,483.0,1.295,1.061,,6071.0,4.239,-0.06,12.487,Kepler,False,False,False
K01809.01,CONFIRMED,294.45386,44.145973,13.09390911,2454977.525,0.0,,87.96,0.86,0.1096,2.2805,398.7,,2.2,75.58,752.0,0.956,1.022,,5772.0,4.487,0.1,12.706,Kepler,False,False,False
K01809.02,CONFIRMED,294.45386,44.145973,4.915385452,2454965.69448,0.0,,87.7,0.484,0.057,2.7757,225.5,,1.46,279.43,1042.0,0.956,1.022,,5772.0,4.487,0.1,12.706,Kepler,False,False,False
K01810.01,FALSE POSITIVE,291.24683,44.00042,87.455958,2454969.23042,0.0,,83.98,1.262,0.46,18.257,1604.9,,70.11,66.26,728.0,2.111,1.692,,7700.0,4.018,-0.14,13.36,Kepler,False,False,False
K01812.01,FALSE POSITIVE,290.12653,41.601082,0.805259257,2454965.100916,0.0,,49.2,1.245,0.0183,1.42246,1384.3,,63.55,12990.09,2723.0,2.022,1.256,,5872.0,3.926,0.2,13.742,Kepler,False,False,False
K01813.01,CONFIRMED,287.25668,46.066769,9.76785911,2454972.43968,0.0,,86.73,0.916,0.0852,2.1649,585.4,,2.54,74.48,749.0,0.852,0.864,,5371.0,4.513,0.0,13.766,Kepler,False,False,False
K01878.01,CONFIRMED,286.22324,38.258171,40.80957343,2454975.69218,0.0,,88.57,0.949,0.2489,3.158,436.1,,3.44,35.68,623.0,1.3,1.241,,6183.0,4.301,0.26,12.988,Kepler,False,False,False
K01879.01,CONFIRMED,292.61411,44.394661,22.08551599,2454968.23432,0.0,,89.41,0.656,0.13,2.1727,3157.4,,3.34,3.63,352.0,0.565,0.6,,3828.0,4.712,0.3,15.967,Kepler,False,False,False
K01880.01,CONFIRMED,289.07224,47.40707,1.151166776,2454966.231766,0.0,,89.8,0.029,0.0177,1.0907,578.4,,1.28,199.25,957.0,0.535,0.561,,3951.0,4.73,-0.16,14.44,Kepler,False,False,False
K00023.01,FALSE POSITIVE,283.16632,45.403061,4.693305543,2454969.8627229,0.0,,88.26,0.23,0.06,5.17249,14523.0,,17.85,881.73,1389.0,1.47,1.312,,6365.0,4.22,0.2,12.291,Kepler,False,False,False
K00204.01,CONFIRMED,300.10236,45.762138,3.246732048,2454966.379165,0.0,,86.55,0.475,0.0442,3.0535,6998.2,,12.4,1072.7,1459.0,1.457,1.093,,5763.0,4.15,0.26,14.678,Kepler,False,False,False
K01944.02,FALSE POSITIVE,290.32867,37.72311,8.3606759,2454971.81934,0.0,,88.51,0.259,0.0802,6.287,194.8,,1.49,176.04,929.0,1.068,0.984,,5771.0,4.374,0.06,13.982,Kepler,False,False,False
K01945.01,CONFIRMED,289.02975,49.769711,62.1385979,2454994.14834,0.0,,89.52,0.699,0.301,4.2938,886.3,,5.14,17.88,524.0,1.621,0.941,,5123.0,3.992,0.2,14.52,Kepler,False,False,False
K01945.02,CANDIDATE,289.02975,49.769711,17.1181036,2454969.19429,0.0,,89.95,0.4346,0.1314,1.29,167.7,,1.22,43.25,654.0,0.929,1.031,,5576.0,4.515,0.3,14.52,Kepler,False,False,False
K01946.01,CANDIDATE,283.34427,48.223911,8.29482811,2454966.50201,0.0,,84.66,0.932,0.0793,2.7437,559.5,,2.76,139.38,876.0,0.939,0.967,,5773.0,4.478,-0.04,14.469,Kepler,False,False,False
K01948.01,FALSE POSITIVE,295.849,46.18129,26.635216,2454988.5577,0.0,,83.88,1.242,0.1627,5.949,1492.8,,27.64,19.45,536.0,0.882,0.808,,5215.0,4.455,0.04,15.551,Kepler,False,False,False
K02025.01,CONFIRMED,285.41962,39.706108,17.84850835,2454981.39117,0.0,,86.29,0.849,0.1385,5.8919,391.2,,3.29,146.82,888.0,1.465,1.111,,6188.0,4.152,-0.08,13.781,Kepler,False,False,False
K02025.02,CONFIRMED,285.41962,39.706108,26.1363443,2454964.61796,0.0,,89.65,0.187,0.1786,6.613,362.2,,2.8,88.29,782.0,1.465,1.111,,6188.0,4.152,-0.08,13.781,Kepler,False,False,False
K02025.03,CONFIRMED,285.41962,39.706108,11.1895709,2454973.63504,0.0,,87.76,0.541,0.1015,5.3,143.3,,1.81,273.37,1037.0,1.465,1.111,,6188.0,4.152,-0.08,13.781,Kepler,False,False,False
K02026.01,CONFIRMED,296.23001,50.27523,2.757977384,2454964.87907,0.0,,80.18,0.875,0.0384,2.1489,211.0,,1.69,744.97,1332.0,1.0,0.994,,5919.0,4.435,-0.08,13.263,Kepler,False,False,False
K00218.01,FALSE POSITIVE,295.03354,46.600151,18.692860599,2454976.8331829,0.0,,89.85,0.116,0.124,3.88584,51256.0,,14.81,18.4,528.0,0.66,0.732,,5190.0,4.66,-0.52,16.147,Kepler,False,False,False
K01814.01,CONFIRMED,292.17117,40.811378,14.80075082,2454965.82179,0.0,,88.88,0.367,0.1633,5.762,501.4,,17.38,3158.09,1912.0,7.663,2.646,,6327.0,3.092,0.56,12.538,Kepler,False,False,False
K01815.01,CONFIRMED,281.45718,46.746471,3.126861192,2454966.724959,0.0,,87.93,0.603,0.0414,1.1926,794.6,,5.12,886.72,1391.0,1.749,0.97,,4854.0,3.939,0.56,13.884,Kepler,False,False,False
K00198.01,FALSE POSITIVE,292.09824,47.940819,87.24250316,2454986.344695,0.0,,89.58,0.884,0.3921,4.1206,17860.0,,15.86,5.49,390.0,0.955,1.054,,5671.0,4.501,0.28,14.288,Kepler,False,False,False
K01816.01,CANDIDATE,291.68329,44.75164,10.240611361,2454964.667897,0.0,,89.21,0.786,0.079,0.9617,2958.0,,3.9,43.85,656.0,0.64,0.628,,5227.0,4.623,-0.94,15.408,Kepler,False,False,False
K01818.01,CONFIRMED,282.03549,43.631271,16.87725775,2454971.64907,0.0,,89.02,0.516,0.1245,3.7917,818.4,,2.54,40.09,642.0,0.872,0.901,,5497.0,4.512,0.0,14.101,Kepler,False,False,False
K01819.01,CONFIRMED,295.31314,46.237492,12.05705659,2454968.41595,0.0,,89.07,0.548,0.0984,2.3462,523.9,,1.96,53.26,689.0,0.834,0.873,,5365.0,4.537,0.0,13.576,Kepler,False,False,False
K01881.01,CONFIRMED,284.61572,39.131039,28.26727385,2454973.92561,0.0,,89.99,0.01,0.1701,4.5839,1160.2,,2.93,16.84,517.0,0.886,0.82,,5132.0,4.457,0.16,14.907,Kepler,False,False,False
K01882.01,CONFIRMED,291.91281,41.533611,3.770590654,2454966.39088,0.0,,89.02,0.24,0.0474,2.029,314.4,,2.13,619.65,1272.0,1.208,0.999,,5714.0,4.274,0.14,14.668,Kepler,False,False,False
K01883.01,CONFIRMED,289.23337,49.938931,2.7073064,2454965.43068,0.0,,89.93,0.007,0.0397,3.4378,69.5,,1.36,2012.12,1709.0,1.629,1.133,,6045.0,4.069,0.02,11.894,Kepler,False,False,False
